{s=832250, t=IN, id=383}
{s=1049313, t=IN, id=37}
{s=1160011, t=IN, id=165}
{s=1740304, t=OUT, id=383}
{s=1745071, t=IN, id=9}
{s=3138758, t=IN, id=244}
{s=3779452, t=IN, id=347}
{s=4621019, t=IN, id=65}
{s=4834122, t=IN, id=324}
{s=5213318, t=IN, id=127}
{s=5215780, t=IN, id=75}
{s=5264120, t=IN, id=412}
{s=6973621, t=IN, id=352}
{s=7870665, t=IN, id=269}
{s=8142886, t=IN, id=407}
{s=9142052, t=IN, id=326}
{s=11014926, t=IN, id=392}
{s=11107579, t=IN, id=285}
{s=11154856, t=IN, id=312}
{s=11186973, t=IN, id=51}
{s=12053220, t=IN, id=102}
{s=14034395, t=IN, id=398}
{s=14041217, t=IN, id=67}
{s=15301980, t=OUT, id=269}
{s=17138534, t=IN, id=160}
{s=17271810, t=IN, id=408}
{s=19133303, t=IN, id=225}
{s=19482056, t=IN, id=377}
{s=19489565, t=IN, id=172}
{s=20563739, t=IN, id=397}
{s=20698624, t=IN, id=370}
{s=20958653, t=IN, id=317}
{s=21123746, t=IN, id=45}
{s=21585907, t=IN, id=235}
{s=22424302, t=IN, id=162}
{s=24429051, t=IN, id=256}
{s=24491878, t=IN, id=42}
{s=24713534, t=IN, id=87}
{s=26077907, t=IN, id=410}
{s=26202293, t=IN, id=8}
{s=26714004, t=IN, id=265}
{s=27121860, t=IN, id=270}
{s=27372434, t=IN, id=279}
{s=28060496, t=IN, id=41}
{s=28128779, t=IN, id=95}
{s=28334272, t=IN, id=332}
{s=28448875, t=IN, id=320}
{s=30472048, t=IN, id=72}
{s=30731570, t=IN, id=293}
{s=30827256, t=IN, id=249}
{s=31234431, t=IN, id=273}
{s=31330988, t=IN, id=148}
{s=31390179, t=IN, id=131}
{s=31576271, t=IN, id=284}
{s=33038920, t=IN, id=276}
{s=33532810, t=OUT, id=270}
{s=34018553, t=IN, id=109}
{s=34599824, t=IN, id=201}
{s=34971570, t=IN, id=411}
{s=35362068, t=IN, id=91}
{s=35422345, t=IN, id=363}
{s=35927486, t=IN, id=136}
{s=36255274, t=OUT, id=244}
{s=36404378, t=IN, id=331}
{s=36682288, t=OUT, id=45}
{s=36786298, t=IN, id=202}
{s=37991130, t=IN, id=257}
{s=38145871, t=OUT, id=165}
{s=38750918, t=IN, id=253}
{s=39073076, t=IN, id=40}
{s=39140526, t=IN, id=245}
{s=39362738, t=IN, id=43}
{s=39497913, t=OUT, id=253}
{s=39661306, t=IN, id=57}
{s=39940063, t=OUT, id=411}
{s=40532160, t=IN, id=164}
{s=41862759, t=IN, id=247}
{s=42077394, t=IN, id=358}
{s=42659619, t=OUT, id=407}
{s=42711049, t=IN, id=263}
{s=42810264, t=IN, id=204}
{s=43338639, t=IN, id=118}
{s=44224469, t=IN, id=93}
{s=44394514, t=IN, id=69}
{s=44607118, t=IN, id=25}
{s=45239943, t=IN, id=241}
{s=46149099, t=IN, id=98}
{s=46188865, t=IN, id=34}
{s=47204485, t=IN, id=193}
{s=47531039, t=IN, id=10}
{s=47587193, t=IN, id=154}
{s=47765577, t=OUT, id=10}
{s=47869674, t=IN, id=84}
{s=48320882, t=IN, id=79}
{s=48372352, t=IN, id=64}
{s=48882639, t=IN, id=229}
{s=49339511, t=OUT, id=65}
{s=49671845, t=IN, id=321}
{s=49682489, t=IN, id=355}
{s=50713674, t=OUT, id=148}
{s=50849523, t=IN, id=238}
{s=51513792, t=IN, id=359}
{s=52666664, t=IN, id=316}
{s=52791613, t=OUT, id=355}
{s=53152773, t=IN, id=174}
{s=53418961, t=IN, id=400}
{s=53495329, t=IN, id=255}
{s=53530170, t=IN, id=335}
{s=53680695, t=IN, id=305}
{s=53693880, t=IN, id=213}
{s=54222185, t=IN, id=166}
{s=54697409, t=IN, id=361}
{s=54923645, t=IN, id=309}
{s=54978643, t=IN, id=82}
{s=55754082, t=OUT, id=9}
{s=56843281, t=OUT, id=84}
{s=57853997, t=IN, id=216}
{s=57955158, t=IN, id=403}
{s=58479544, t=IN, id=19}
{s=59169383, t=IN, id=94}
{s=59559516, t=IN, id=224}
{s=59597100, t=OUT, id=57}
{s=60610064, t=OUT, id=91}
{s=60733989, t=IN, id=86}
{s=60970660, t=OUT, id=86}
{s=61088722, t=IN, id=385}
{s=61165237, t=IN, id=115}
{s=61379235, t=IN, id=266}
{s=61450647, t=IN, id=280}
{s=61746882, t=IN, id=70}
{s=62302587, t=IN, id=26}
{s=62356538, t=OUT, id=118}
{s=62720481, t=IN, id=210}
{s=62870201, t=IN, id=108}
{s=64062826, t=IN, id=393}
{s=64443580, t=IN, id=381}
{s=64601592, t=OUT, id=94}
{s=64964606, t=IN, id=101}
{s=65220146, t=IN, id=301}
{s=65681132, t=IN, id=360}
{s=66017344, t=IN, id=88}
{s=66347649, t=OUT, id=309}
{s=66404812, t=IN, id=399}
{s=67365243, t=IN, id=214}
{s=67459627, t=IN, id=169}
{s=67563931, t=IN, id=288}
{s=67668281, t=IN, id=190}
{s=68340170, t=IN, id=275}
{s=68412038, t=OUT, id=393}
{s=68526608, t=OUT, id=265}
{s=68921383, t=IN, id=171}
{s=69527440, t=IN, id=373}
{s=69895132, t=OUT, id=82}
{s=70493425, t=OUT, id=321}
{s=70702474, t=IN, id=336}
{s=70833783, t=OUT, id=216}
{s=71038823, t=IN, id=226}
{s=71179867, t=IN, id=348}
{s=71252854, t=IN, id=248}
{s=71465782, t=IN, id=139}
{s=71955049, t=IN, id=186}
{s=72169573, t=OUT, id=51}
{s=72301467, t=IN, id=209}
{s=72768410, t=IN, id=161}
{s=73743699, t=IN, id=146}
{s=74066110, t=IN, id=364}
{s=74184106, t=OUT, id=131}
{s=74663083, t=IN, id=140}
{s=74948689, t=OUT, id=172}
{s=75266632, t=OUT, id=293}
{s=76474525, t=IN, id=107}
